epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask
1605873600,,124.7894314,125.4213725,,
1605877200,,124.8675,125.500119,,
1605877200,,,,124.8309286,125.5289286
1605880800,,,,124.7906903,125.4858547
1605880800,,124.8460182,125.4788545,,
1605884400,,124.8471887,125.4798868,,
1605884400,,,,124.7953943,125.4917736
1605888000,,,,124.8133826,125.506698
1605888000,,124.8645116,125.4974186,,
1605891600,,124.867,125.5,,
1605898800,,124.867,125.5,,
1605916800,,,,124.79,125.503
1605981600,,,,124.79,125.503
1605985200,,,,124.79,125.503
1605988800,,,,124.79,125.503
1606089600,,,,124.79,125.503
1606114800,,,,124.918916,125.561722
1606114800,,124.9285,125.5651,,
1606118400,,,,124.8458076,125.5485652
1606118400,,124.967575,125.604825,,
1606122000,,124.8967727,125.5334545,,
1606122000,,,,124.7763089,125.4729443
1606125600,,,,124.8106331,125.5145247
1606125600,,124.9527,125.5897,,
1606129200,,,,124.7929253,125.4843973
1606129200,,124.9408462,125.5780769,,
1606132800,,,,124.7413597,125.3978284
1606132800,,124.8664545,125.5031364,,
1606136400,,,,124.7540645,125.4048032
1606136400,,124.8752712,125.5117966,,
1606140000,,124.9446364,125.5818788,,
1606140000,,,,124.8230837,125.4714811
1606143600,,,,124.8244013,125.4687373
1606143600,,124.9513636,125.5886364,,
1606147200,,,,124.842413,125.4807157
1606147200,,124.9541538,125.5915,,
1606150800,,,,124.874,125.538
1606176000,,,,124.874,125.538
1606201200,,,,124.7559913,125.3673831
1606201200,,124.7574062,125.3926875,,
1606204800,,124.8586,125.4921,,
1606204800,,,,124.7656956,125.4027618
1606208400,,,,124.8592622,125.5188336
1606208400,,124.935,125.5728889,,
1606212000,,124.9686471,125.6064118,,
1606212000,,,,124.8690262,125.5334925
1606215600,,,,124.9081022,125.5746152
1606215600,,125.0158889,125.6529444,,
1606219200,,125.0619231,125.6981538,,
1606219200,,,,124.9613656,125.6272549
1606222800,,125.0417143,125.6791429,,
1606222800,,,,124.9579411,125.6111455
1606226400,,,,125.000819,125.6525272
1606226400,,125.0920667,125.7298667,,
1606230000,,,,124.9993316,125.6506368
1606230000,,125.1048158,125.7429211,,
1606233600,,,,124.9205471,125.5734508
1606233600,,125.0279286,125.6655,,
1606262400,,,,124.856,125.537
1606287600,,,,124.8596403,125.4423823
1606287600,,124.651,125.2816667,,
1606291200,,,,124.8317051,125.4875647
1606291200,,124.9905952,125.5993571,,
1606294800,,,,124.9596843,125.6128264
1606294800,,125.1199118,125.7299412,,
1606298400,,,,125.003327,125.6664452
1606298400,,125.1358529,125.7415588,,
1606302000,,125.1548889,125.7604,,
1606302000,,,,125.0433087,125.7094368
1606305600,,,,124.9991295,125.6640239
1606305600,,125.1214231,125.7267692,,
1606309200,,,,124.9834063,125.6458546
1606309200,,125.0913846,125.6986923,,
1606312800,,125.1374,125.7429,,
1606312800,,,,124.99211,125.6496165
1606316400,,125.1462222,125.7480278,,
1606316400,,,,125.0250338,125.686
1606320000,,,,124.9685499,125.6271234
1606320000,,125.10112,125.70708,,
1606323600,,124.7243333,125.3283333,,
1606327200,,124.7203333,125.3246667,,
1606348800,,,,124.922,125.595
1606374000,,,,124.90269,125.4677493
1606374000,,124.903625,125.5065,,
1606377600,,124.9633333,125.5683333,,
1606377600,,,,124.8808768,125.5794018
1606377600,125.159,,,,
1606381200,,,,124.9487305,125.6493932
1606381200,,125.0128235,125.6218235,,
1606384800,,,,124.9811592,125.6757197
1606384800,,125.0302143,125.6393571,,
1606388400,,,,124.9727773,125.6705237
1606388400,,125.0287778,125.641,,
1606392000,,,,124.9910505,125.691843
1606392000,,125.0327895,125.6452105,,
1606395600,,,,125.0606261,125.7736014
1606395600,,125.1051176,125.7133529,,
1606399200,,,,125.0331444,125.7424621
1606399200,,124.9888947,125.5885789,,
1606402800,,124.9739815,125.5564259,,
1606402800,,,,125.0390607,125.7447732
1606406400,,,,125.0624426,125.7651762
1606406400,,124.9928868,125.5631698,,
1606435200,,,,125.069,125.787
1606460400,,124.997,125.5982424,,
1606460400,,,,125.0960521,125.7214566
1606464000,,124.9886724,125.5830345,,
1606464000,,,,125.0423015,125.7498323
1606467600,,,,125.055464,125.7632192
1606467600,,125.0110926,125.6054259,,
1606471200,,125.0717797,125.6525085,,
1606471200,,,,125.1052524,125.8158762
1606474800,,125.0559231,125.6417308,,
1606474800,,,,125.0713169,125.7708831
1606478400,,125.0359608,125.6213529,,
1606478400,,,,125.0495689,125.7408429
1606482000,,125.0299828,125.6164655,,
1606482000,,,,125.0307108,125.7303527
1606485600,,125.0138113,125.6038679,,
1606485600,,,,124.9882569,125.6949028
1606489200,,125.0552182,125.6456909,,
1606489200,,,,125.0132657,125.715913
1606492800,,125.0760182,125.6665091,,
1606492800,,,,125.0474371,125.7486367
1606496400,,125.0702,125.66,,
1606518000,,,,125.076,125.788
1606521600,,,,125.076,125.788
1606572000,,,,125.076,125.788
1606590000,,,,125.076,125.788
1606694400,,,,125.076,125.788
1606716000,,124.926,125.497,,
